course_code,course_name,number_of_units,is_offered_in_sem1,is_offered_in_sem1
AR5955H,Topics in Research by Design 8,4,True,False
AR5956A,Topics in Design and Built Environment 1,4,True,False
AR5956B,Topics in Design and Built Environment 2,4,True,False
AR5956C,Topics in Design and Built Environment 3,4,True,False
AR5956D,Topics in Design and Built Environment 4,4,True,False
AR5956E,Topics in Design and Built Environment 5,4,True,False
AR5957H,Topics in History and Theory of Architecture 8,4,False,True
AR5957I,Topics in History and Theory of Architecture 9,4,False,True
AR5957J,Topics in History and Theory of Architecture 10,4,False,True
AR5957K,Topics in History and Theory of Architecture 11,4,False,True
AR5958G,Topics in Urbanism 7,4,False,True
AR5958H,Topics in Urbanism 8,4,False,True
AR5958I,Topics in Urbanism 9,4,False,True
AR5958J,Topics in Urbanism 10,4,False,True
AR5958K,Topics in Urbanism 11,4,False,True
AR5958L,Topics in Urbanism 12,4,False,True
AR5959,Topics in Design Technology,4,False,True
AR5959D,Topics in Design Technology 4,4,False,True
AR5959E,Topics in Design Technology 5,4,False,True
AR6770,Phd Seminar,4,True,False
ASP1201CH,H3 Humanities & Soc Sci Research Prog,4,False,True
ASP1201EC,H3 Humanities & Soc Sci Research Prog,4,False,True
ASP1201EN,H3 Humanities & Soc Sci Research Prog,4,False,True
ASP1201GE,H3 Humanities & Soc Sci Research Prog,4,False,True
ASP1201HY,H3 Humanities & Soc Sci Research Prog,4,False,True
ASP1201MS,H3 Humanities & Soc Sci Research Prog,4,False,True
AUD5101,Acoustics,2,True,False
AUD5102,Anatomy & Physiology,2,True,False
AUD5103,Pathologies of the Auditory System,2,True,False
AUD5104,Perception of Sound & Speech,2,True,False
AUD5105,Hearing Devices and Rehabilitation A - Part 1,3,True,False
AUD5106,Clinical Audiology A - Part 1,3,True,False
AUD5107,Paediatric Audiology A - Part 1,3,True,False
AUD5108,Electrophysiological Assessment A,2,False,True
AUD5109,Professional Practice Issues & Community Audiology,2,True,False
AUD5110,Vestibular Assessment and Management A,3,False,True
AUD5111,Hearing Devices & Rehabilitation A - Part 2,3,False,True
AUD5112,Clinical Audiology A - Part 2,4,False,True
AUD5113,Paediatric Audiology A - Part 2,4,False,True
AUD5115,Experimental Design & Statistics,3,False,True
BAA6001,Accounting Research Seminars I,4,False,True
BBP6791,Research Seminar in International Business,2,True,False
BBP6794,Seminar in Innovation and Entrepreneurship,2,True,False
BDC6112,Stochastic Processes I,4,True,False
BDC6303,Queues and Stochastic Networks,4,False,True
BHD4001,Honours Dissertation,12,True,False
BI3001A,Business Internship I,4,True,True
BI3001B,Business Internship I,4,True,False
BI3001C,Business Internship I,4,True,False
BI3002A,Business Internship II,8,True,False
BI3002B,Business Internship II,8,True,False
BI3003,Work Experience Internship,4,True,False
BI3003A,Work Experience Internship,4,True,True
BI3003B,Work Experience Internship,4,True,True
BI3003C,Work Experience Internship,4,True,True
BI3003D,Work Experience Internship,4,True,False
BI3704A,Business Internship I,4,True,False
BI3704B,Business Internship I,4,True,False
BI3704C,Business Internship I,4,True,False
BI3704D,Business Internship I,4,True,False
BI3704R,Business Internship I,4,True,False
BI3708A,Business Internship II,8,True,False
BI3708B,Business Internship II,8,True,False
BI3708R,Business Internship II,8,True,False
BI3712A,Business Internship III,12,True,False
BI3712B,Business Internship III,12,True,False
BI3712R,Business Internship III,12,True,False
BIS3001,Independent Study Module in Business,4,True,True
BIS3001A,Independent Study Module in Business,2,True,False
BL5102,Environmental Science,4,True,False
BL5198,Graduate Seminar Course in Biological Sciences,4,True,True
BL5199,Research Project in Conservation and Nature-based Climate Solutions,12,True,True
BL5201,Structural Biology And Proteomics,4,True,False
BL5202A,Biophysical Methods in Life Sciences,4,False,True
BL5203,Molecular Interactions in Chromatin,4,False,True
BL5207A,Topics In Developmental Biology,4,True,False
BL5210,Biogeography,2,False,True
BL5213,Protein Design & Engineering,4,False,True
BL5214,Advanced Proteins Nmr,4,True,False
BL5215,Macromolecular X-Ray Crystallography,4,True,False
BL5216,Advanced Genetics and Genome Sciences,4,False,True
BL5217,Population Genomics and Phylogenomics,4,True,False
BL5218,Directed Studies in Behavioural Ecology,4,False,True
BL5220,Advanced Animal Development,4,False,True
BL5221,Plant and Microbial Development,4,False,True
BL5222,Cellular Mechanisms,4,True,False
BL5223,Advanced Molecular Genetics,4,True,False
BL5224,Signalling Mechanisms in Cancers and Metabolic Diseases,4,False,True
BL5228,Advances in Cell and Molecular Biology,2,False,True
BL5230,Biological Invasions,4,True,False
BL5232,Introduction to Bioimaging,2,False,True
BL5233,Data Analysis for Conservation Biology with R,4,True,True
BL5236,Introduction to Electron Microscopy for Life Sciences,2,True,False
BL5238,Infectious Disease Modelling,2,False,True
BL5239,Science and Communication,4,True,False
BL5299,Internship in Conservation and Nature-based Climate Solutions,12,True,True
BL5301,Conservation Problems and Practice,4,True,False
BL5302,Climate Change Solutions,4,False,True
BL5311,Freshwater Conservation,4,True,False
BL5313,Food Security and Sustainability,4,False,True
BL5322,Field Techniques in Biological Conservation,4,True,False
BL5323,Spatial modelling for environmental sustainability,4,False,True
BL5324,Ecological Perspectives on Global Change,4,True,False
BL5331,Conservation Governance and Climate Solutions,4,False,True
BL5601,Case Studies in Biotechnology,4,True,True
BL5602,Genetic Engineering in Biotechnology,4,True,False
BL5623,Infectious Diseases and Host-Pathogen Interactions,4,False,True
BL5631,Practical Analysis of Genomic Data using R,4,True,False
BL5632,Genomic Data Science in the Cloud,4,False,True
BL5661,Urban Agriculture and Crop Biotechnology,4,True,False
BL5699,Capstone Project in Biotechnology,8,True,True
BLD3002,CEOs as Leaders,2,True,False
BLD3003,Personal Leadership Development,2,True,False
BLD3004,Topics in Leadership Development,4,True,False
BMA5001,Managerial Economics,4,True,True
BMA5003,Financial Accounting,4,True,False
BMA5008,Financial Management,4,True,False
BMA5009,Marketing Strategy,4,False,True
BMA5013,Corporate Strategy,4,True,True
BMA5016,Leading with Impact,4,True,True
BMA5017,Managerial Operations and Analytics,4,True,True
BMA5102,Legal Issues in Business,4,False,False
BMA5104,Global Strategic Management,4,True,False
BMA5112,Asian Business Environments,4,False,True
BMA5118A,Special Topics in Strategy and Policy: Sustainability Strategy,4,False,True
BMA5119,Family Business,4,False,False
BMA5128,Venture Capital,4,False,False
BMA5129,Leading with Strategy in Digital Firms,4,False,False
BMA5134,Entrepreneurial Management,4,False,True
BMA5136,A Consulting Toolkit For Strategic Decision-Making,4,False,False
BMA5137,Strategic Leadership,4,False,False
BMA5236,Global Operations Strategy In The Digital Economy,4,False,True
BMA5271,"Leadership in Supply Chain, Operations & Sustainability",4,False,False
BMA5275,Analytics in Managerial Economics,4,False,False
BMA5276,Big Data in Marketing,4,False,True
BMA5277,Managing Geopolitics in International Business,4,False,False
BMA5302,Investment Analysis and Management,4,False,True
BMA5303,Financial Statement Analysis,4,False,False
BMA5309,Fund Management,4,False,False
BMA5313,Venture Capital and Private Equity,4,True,False
BMA5313A,Valuation and Mergers & Acquisitions,4,False,True
BMA5314,Entrepreneurial Finance,4,True,False
BMA5334,Technological Disruptions in Finance,4,False,False
BMA5335,Digital Assets and Blockchain in Finance,4,True,False
BMA5336,Sustainability Risk Management,4,False,False
BMA5337,Sustainability Reporting and Analysis,4,False,True
BMA5404,Entrepreneurship & Innovation,4,True,False
BMA5405,Managing Change,4,False,False
BMA5406,Negotiations and Conflict Management,4,True,False
BMA5411,Talent Development and Performance Management,4,True,False
BMA5424,Corporate Entrepreneurship and Business Model Evaluation,4,False,True
BMA5428,Strategic Foresight,4,False,True
BMA5429,Mastering Influence,4,False,True
BMA5430,Judgment and Decision Making Under Uncertainty,4,False,False
BMA5431,AI for Talent Management and Organizational Design,4,True,False
BMA5432,Managing People with Data,4,False,True
BMA5505,Service Management,4,True,False
BMA5506,Product & Brand Management,4,False,False
BMA5511,Strategic Pricing,4,False,True
BMA5528,Business to Business Marketing,4,False,True
BMA5533,Digital Marketing,4,False,False
