course_code,prerequisite_str
CS3244,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES (1) CS2040:D, CS2040C:D, CS2040S:D, YSC2229:D AND COURSES (1) EE2012A:D, EE2012:D, YSC2243:D, ST2131:D, ST2334:D, MA2116:D, MA2216:D AND (COURSES (2) MA1511:D, MA1512:D OR COURSES (1) MA2001:D, MA1522:D, MA1508E:D, MA1311:D, MA1513:D, MA1101R:D AND COURSES (1) MA2002:D, MA1521:D, MA1505:D, MA1507:D, MA1102R:D)"
CS3245,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2010:D, CS2020:D, CS2040:D, CS2040S:D, CS2040C:D)"
CS3247,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3241:D)
CS3263,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES (1) CS2109S:D AND COURSES (1) CS2040:D, CS2040S:D, CS2040C:D AND COURSES (1) MA2001:D, MA1522:D, MA1513:D, MA1508E:D, MA1101R:D AND COURSES (1) EE2012A:D, EE2012:D, ST2131:D, MA2116:D, ST2334:D, MA2216:D"
CS3264,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES (1) CS2109S:D AND COURSES (1) CS2040:D, CS2040S:D, CS2040C:D AND COURSES (1) MA1101R:D, MA1311:D, MA1513:D, MA1508E:D, MA2001:D, MA1522:D AND COURSES (1) EE2012A:D, EE2012:D, ST2131:D, MA2116:D, ST2334:D, MA2216:D"
CS3281,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2103:D, CS2103T:D AND (COURSES (1) CS3230:D, CS3231:D, CS4234:D, CS2108:D, CS2109S:D, CS3242:D, CS3243:D, CS3244:D, CS3263:D, CS3264:D, CS4246:D, CS4244:D, CS4248:D, CS2105:D, CS3103:D, CS4222:D, CS4226:D, CS4274:D, CS2102:D, CS3223:D, CS4221:D, CS4224:D, CS4225:D, CS4226:D, CS3245:D, CS3246:D, CS4241:D, CS4248:D, CS3210:D, CS3211:D, CS4231:D, CS4223:D, CS2104:D, CS4215:D, CS4212:D, CS3213:D, CS3219:D, CS4211:D, CS4215:D, CS4223:D, CS2107:D, CS4239:D, CS2106:D, CS3235:D, CS4230:D, CS4236:D, CS4238:D, CS3241:D, CS4242:D, CS4247:D, CS4347:D, CS4243:D))"
CS3282,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3281:D AND (COURSES (2) CS3230:D, CS3231:D, CS3236:D, CS4231:D, CS4232:D, CS4234:D OR COURSES (2) CS2109S:D, CS3243:D, CS3244:D, CS3263:D, CS3264:D, CS4246:D, CS4244:D, CS4248:D OR COURSES (2) CS2105:D, CS3103:D, CS4222:D, CS4226:D, CS4231:D OR COURSES (2) CS2102:D, CS3223:D, CS4221:D, CS4224:D, CS4225:D OR COURSES (2) CS3241:D, CS3242:D, CS3247:D, CS4247:D, CS4350:D OR COURSES (2) CS2108:D, CS3245:D, CS4242:D, CS4347:D, CS4248:D OR COURSES (2) CS3210:D, CS3211:D, CS4231:D, CS4223:D OR COURSES (2) CS2104:D, CS3211:D, CS4215:D, CS4212:D OR COURSES (2) CS2103:D, CS2103T:D, CS3213:D, CS4218:D, CS4211:D, CS4239:D OR COURSES (2) CS2107:D, CS3235:D, CS4236:D, CS4238:D, CS4239:D OR COURSES (2) CS2108:D, CS3245:D, CS4242:D, CS4248:D, CS4347:D OR COURSES (2) CS3241:D, CS3242:D, CS4342:D, CS4247:D, CS4243:D))"
CS4211,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2103:D, CS2103T:D, YSC3232:D, CS2113:D, CS2113T:D)"
CS4212,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2104:D, CS3212:D)"
CS4215,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES (1) CS2010:D, CS2020:D) OR (COURSES (1) CS2040:D, CS2040S:D, CS2040C:D AND COURSES (1) CS2030:D, CS2030S:D, CS2113:D, CS2113T:D))"
CS4218,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3213:D, CS3219:D)"
CS4220,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2220:D, LSM2104:D, LSM2241:D)"
CS4221,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3223:D)
CS4222,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EE3204:D, EE3204E:D, EE4204:D, CS2105:D AND COURSES (1) EE2012A:D, EE2012:D, ST2131:D, ST2334:D, MA2116:D, MA2216:D)"
CS4223,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2106:D, CG2271:D AND COURSES (1) CS3210:D, CS3220:D, CG3207:D)"
CS4224,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3223:D)
CS4225,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2102:D, IT2002:D)"
CS4226,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2105:D, EE3204:D, EE3204E:D, EE4204:D AND COURSES (1) EE2012A:D, EE2012:D, MA2216:D, ST2131:D, ST2334:D, MA2116:D)"
CS4230,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1231:D, CS1231S:D, MA1100:D, MA1100T:D AND COURSES CS3230:D AND COURSES (1) ST2334:D, ST2131:D, MA2216:D, MA2116:D)"
CS4231,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CS3210:D,CS3230:D
)"
CS4234,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) MA2001:D, MA1101R:D, YSC2232:D, MA1311:D, MA1508E:D, MA1522:D, MA1513:D AND COURSES (1) YSC3203:D, CS3230:D)"
CS4236,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2010:D, CS2020:D, CS2040:D, YSC2229:D, CS2040S:D, CS2040C:D AND COURSES (1) CS2107:D AND COURSES (1) CS1231:D, CS1231S:D, MA1100T:D, MA1100:D)"
CS4238,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3235:D)
CS4239,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3235:D AND COURSES (1) CS2103T:D, CS2103:D, CS2113:D, CS2113T:D)"
CS4242,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2108:D AND COURSES (1) CS3245:D)
CS4243,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) YSC2232:D, MA2001:D, MA1101R:D, MA1311:D, MA1508E:D, MA1513:D, MA1522:D AND COURSES (1) ST1131:D, ST1131A:D, ST1232:D, ST2131:D, MA2116:D, MA2216:D, EE2012A:D, EE2012:D, ST2334:D, YSC2243:D AND (COURSES (1) CS2020:D, CS1020:D, CS1020E:D OR (COURSES (1) CS2030:D, CS2030S:D, CS2113:D, CS2113T:D AND COURSES (1) YSC2229:D, CS2040:D, CS2040S:D, CS2040C:D)) AND ((COURSES (1) MA1102R:D, MA2002:D, YSC1216:D, MA1505:D, MA1521:D, MA1507:D) OR (COURSES (2) MA1512:D, MA1511:D)))"
CS4246,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES (1) EE2012A:D, EE2012:D, ST2132:D, ST2334:D OR (COURSES (1) ST2131:D, MA2116:D, MA2216:D AND COURSES (1) ST1131:D, ST1232:D, DCS2008:D, ST1131A:D)) AND COURSES (1) CS3243:D, CS3263:D)"
CS4247,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3241:D)
CS4248,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES (1) CS3243:D, CS2109S:D AND COURSES (1) EE2012A:D, EE2012:D, ST2131:D, MA2216:D, MA2116:D, ST2334:D, YSC2243:D) AND (COURSES (1) MA1505:D, MA1507:D, MA1521:D, MA1102R:D, YSC1216:D, MA2002:D OR COURSES (2) MA1511:D, MA1512:D))"
CS4249,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3240:D, NM2216:D, NM2213:D)"
CS4261,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EE2012A:D, EE2012:D, ST2131:D, MA2216:D, ST2334:D, MA2116:D AND COURSES (1) CS2010:D, CS2020:D, CS2040:D, CS2040S:D, CS2040C:D AND COURSES (1) MA1100:D, MA1100T:D, CS1231S:D, CS1231:D AND COURSES (1) MA2001:D, MA1101R:D, MA1311:D, MA1508E:D, MA1513:D, MA1522:D)"
CS4268,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3230:D AND COURSES (1) EE2012A:D, EE2012:D, ST2131:D, MA2216:D, ST2334:D, MA2116:D AND COURSES (1) MA1101R:D, MA1311:D, MA1508E:D, MA1513:D, MA1522:D, MA2001:D)"
CS4269,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2010:D, CS2020:D, YSC2229:D, CS2040:D, CS2040C:D, CS2040S:D AND COURSES (1) CS1231:D, CS1231S:D, MA1100:D, MA1100T:D)"
CS4277,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) MA2001:D, MA1522:D, MA1101R:D, MA1311:D, MA1506:D, MA1508E:D AND COURSES (1) CS2040:D, CS2020:D, CS2010:D, CS2040S:D, CS2040C:D)"
CS4278,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3263:D, CS3243:D AND COURSES (1) MA2001:D, MA1522:D, MA1101R:D, MA1311:D, MA1508E:D, MA1513:D AND COURSES (1) EE2012:D, EE2012A:D, ST2131:D, ST2334:D, MA2116:D, MA2216:D AND (COURSES (1) MA2002:D, MA1102R:D, MA1505:D, MA1507:D, MA1521:D OR (COURSES (2) MA1512:D, MA1511:D)))"
CS4330,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2010:D, CS2040C:D, CS2040:D, CS2040S:D, CS2020:D AND COURSES (1) CS2220:D, LSM2104:D)"
CS4347,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES CS2108:D AND COURSES (1) MA1101R:D, MA2001:D, MA1522:D, MA1311:D, MA1508E:D, MA1513:D) AND (COURSES (1) MA1102R:D, MA1505:D, MA1507:D, MA1521:D, MA2002:D OR COURSES (2) MA1512:D, MA1511:D))"
CS4350,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3247:D, NM3216:D)"
CS5218,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS4212:D, CS4215:D)"
CS5219,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CS2104:D,CS3212:D
)"
CS5222,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3220:D, CS4223:D)"
CS5223,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3211:D)
CS5228,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2109S:D, CS3243:D AND COURSES (1) CS2102:D AND ((COURSES (1) EE2012A:D, EE2012:D, ST2132:D, ST2334:D) OR (COURSES (1) ST2131:D, MA2216:D, MA2116:D AND COURSES (1) ST1131A:D, ST1131:D, DSC2008:D, ST1232:D)))"
CS5229,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS4226:D, EE4210:D)"
CS5230,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS4232:D)
CS5231,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3235:D)
CS5232,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CS1231:D,CS1231S:D,MA1100:D,MA1100T:D
	AND
	COURSES (1) CS2103:D,CS2103T:D,CS2113:D,CS2113T:D
)"
CS5233,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS4231:D AND ((COURSES (1) EE2012A:D, EE2012:D, ST2132:D, ST2334:D) OR (COURSES (1) ST2131:D, MA2216:D AND COURSES (1) ST1131A:D, ST1131:D, DSC2008:D, ST1232:D)))"
CS5234,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CS3230:D
)"
CS5239,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1020:D, CS1020E:D, CS2020:D, CS2030:D, CS2113:D, CS2113T:D AND ((COURSES (1) EE2012A:D, EE2012:D, ST2132:D, ST2334:D) OR (COURSES (1) ST2131:D, MA2216:D AND COURSES (1) ST1131A:D, ST1131:D, DSC2008:D, ST1232:D)))"
CS5240,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1020:D, CS1020E:D, CS2020:D, CS2040:D, CS2040S:D, CS2040C:D AND COURSES (1) MA2001:D, MA1522:D, MA1101R:D, MA1508E:D, MA1513:D, MA1311:D AND COURSES (1) EE2012A:D, EE2012:D, ST1131A:D, ST1131:D, ST1232:D, ST2131:D, MA2116:D, MA2216:D, ST2334:D AND (COURSES (1) MA2002:D, MA1102R:D, MA1505:D, MA1507:D, MA1521:D OR (COURSES (2) MA1512:D, MA1511:D)))"
CS5242,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2109S:D, CS3244:D)"
CS5246,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2103:D, CS2103T:D, CS2113:D, CS2113T:D AND COURSES (1) MA2001:D, MA1522:D, MA1101R:D, MA1311:D, MA1508E:D, MA1513:D AND COURSES (1) EE2012A:D, EE2012:D, MA2116:D, MA2216:D, ST2131:D, ST2334:D)"
CS5250,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2106:D, CG2271:D)"
CS5260,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES CS5242:D
CS5272,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2106:D, CG2271:D AND COURSES (1) CS2103:D, CS2103T:D, CS2113:D, CS2113T:D)"
CS5321,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3235:D)
CS5322,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CS3223:D
)"
CS5330,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3230:D)
CS5331,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3235:D)
CS5332,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2040:D, CS2040C:D, CS2040S:D AND COURSES (1) MA2001:D, MA1522:D, MA1101R:D, MA1311:D, MA1508E:D, MA1513:D AND (COURSES (1) MA2002:D, MA1102R:D, MA1505:D, MA1521:D, MA1507:D OR (COURSES (2) MA1512:D, MA1511:D)) AND (COURSES (1) EE2012:D, EE2012A:D, ST2132:D, ST2334:D OR ((COURSES (1) MA2116:D, MA2216:D, ST2131:D) AND (COURSES (1) ST1131:D, ST1131A:D, ST1232:D, DSC2008:D))))"
CS5339,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3264:D, CS3244:D)"
CS5340,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3263:D, CS3243:D AND ((COURSES (1) EE2012A:D, EE2012:D, ST2132:D, ST2334:D) OR (COURSES (1) ST2131:D, MA2216:D, MA2116:D AND COURSES (1) ST1131A:D, ST1131:D, DSC2008:D, ST1232:D)))"
CS5342,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3246:D, CS4341:D)"
CS5344,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT5110:D)
CS5346,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2010:D, CS2040:D, CS2040S:D, CS2040C:D AND COURSES (1) CS2102:D AND COURSES (1) CS3240:D AND COURSES (1) EE2012:D, EE2012A:D, ST1131A:D, ST1131:D, ST1232:D, DSC2008:D, ST2132:D, ST2334:D)"
CS5421,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3223:D)
CS5422,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EE3204:D, EE3204E:D, EE4204:D, CS2105:D AND COURSES (1) EE2012A:D, EE2012:D, ST2131:D, ST2334:D, MA2116:D, MA2216:D)"
CS5424,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3223:D)
CS5425,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2102:D, IT2002:D)"
CS5430,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1231:D, CS1231S:D, MA1100:D, MA1100T:D AND COURSES CS3230:D AND COURSES (1) ST2334:D, ST2131:D, MA2216:D, MA2116:D)"
CS5439,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3235:D AND COURSES (1) CS2103T:D, CS2103:D, CS2113:D, CS2113T:D)"
CS5446,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES (1) EE2012A:D, EE2012:D, ST2132:D, ST2334:D OR (COURSES (1) ST2131:D, MA2116:D, MA2216:D AND COURSES (1) ST1131:D, ST1232:D, DCS2008:D, ST1131A:D)) AND COURSES (1) CS3243:D, CS3263:D)"
CS5461,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EE2012A:D, EE2012:D, ST2131:D, MA2216:D, ST2334:D, MA2116:D AND COURSES (1) CS2010:D, CS2020:D, CS2040:D, CS2040S:D, CS2040C:D AND COURSES (1) MA1100:D, MA1100T:D, CS1231S:D, CS1231:D AND COURSES (1) MA2001:D, MA1101R:D, MA1311:D, MA1508E:D, MA1513:D)"
CS5469,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2010:D, CS2020:D, YSC2229:D, CS2040:D, CS2040C:D, CS2040S:D AND COURSES (1) CS1231:D, CS1231S:D, MA1100:D, MA1100T:D)"
CS5477,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) MA2001:D, MA1522:D, MA1101R:D, MA1311:D, MA1506:D, MA1508E:D AND COURSES (1) CS2040:D, CS2020:D, CS2010:D, CS2040S:D, CS2040C:D)"
CS5478,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3263:D, CS3243:D AND COURSES (1) MA2001:D, MA1522:D, MA1101R:D, MA1311:D, MA1508E:D AND COURSES (1) EE2012:D, EE2012A:D, ST2131:D, ST2334:D AND (COURSES (1) MA2002:D, MA1102R:D, MA1505:D, MA1521:D OR (COURSES (2) MA1512:D, MA1511:D)))"
CS5562,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3230:D AND COURSES (1) EE2012:D, EE2012A:D, MA2216:D, MA2116:D, ST2131:D, ST2334:D AND COURSES (1) CS3244:D)"
CS6203,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3223:D)
CS6204,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS5229:D)
CS6206,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3240:D)
CS6207,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS4248:D)
CS6208,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3263:D, CS3243:D)"
CS6211,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) ST2334:D, ST2131:D AND COURSES (1) CS2105:D AND COURSES (1) CS2106:D)"
CS6213,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3211:D, CS4231:D)"
CS6215,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3230:D AND COURSES (1) CS4212:D)
CS6219,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2105:D AND COURSES (1) CS2106:D)
CS6220,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS5228:D)
CS6222,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2220:D)
CS6223,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3213:D, CS4218:D, CS5219:D)"
CS6231,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS4236:D, CS3235:D, CS5231:D)"
CS6234,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS5234:D)
CS6235,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3230:D)
CS6240,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS4243:D, CS5240:D)"
CS6244,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS3230:D AND COURSES (1) ST2131:D, ST2334:D AND COURSES (1) MA2001:D, MA1101R:D, MA1311:D, MA1506:D, MA1508E:D, MA1522:D)"
DSA2102,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES (1) MA1101R:D, MA1508E:D, MA1513:D, MA1522:D, MA2001:D AND COURSES (1) MA1102R:D, MA1312:D, MA1505:D, MA1511:D, MA1521:D, MA2002:D"
DSA3101,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) DSA2101:D AND COURSES (1) ST2132:D)
DSA3102,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1010%:D AND COURSES (1) MA1101R:D, MA1508E:D, MA1513:D, MA1522:D, MA2001:D AND COURSES (1) MA1505:D, MA1511:D, MA2104:D, MA2311:D)"
DSA3361,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) GEA1000:D, GEA1000N:D, GER1000:D, DSA1101:D, DSE1101:D, ST1131:D, BT1101:D, IE1111R:D) AND (COURSES (1) MA2401:D OR (COURSES (1) MA1101R:D, MA1311:D, MA1508E:D, MA1513:D, MA2001:D, MA1522:D AND COURSES (1) MA1102R:D, MA1312:D, MA1505:D, MA1507:D, MA1511:D, MA1521:D, MA2002:D AND COURSES (1) MA2216:D, MA2116:D, ST2131:D, ST2334:D))"
DSA3362,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) DSA3361:D)
DSA4211,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) ST3131:D)
DSA4212,PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES MA1101R:D OR COURSES MA2001:D) AND (COURSES MA1104:D OR COURSES MA2104:D OR COURSES MA2311:D) AND COURSES ST2132:D)
DSA4262,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES CS3244:D AND COURSES DSA3101:D)
DSA4266,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES CS3244:D AND COURSES DSA3101:D)
DSA5103,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) MA2104:D, MA2311:D)"
DSA5201,PROGRAM_TYPES IF_IN GRADUATE DEGREE COURSEWORK THEN (COURSES DSA5101:D)
DSA5202,"PROGRAM_TYPES IF_IN GRADUATE DEGREE COURSEWORK THEN COURSES (1) DSA5102:D, DSA5105:D"
DSC3226,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) DSC2006:D
)"
DSE3101,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES DSE1101:D AND COURSES DSA2101:D AND COURSES EC2101:D AND COURSES EC2102:D AND COURSES ST2132:D)
EC2101,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC1101E:D, EC1301:D, BSP1005:D, BSP1005A:D, BSP1005B:D, BSP1005X:D, BSP1703:D, BSP1703X:D, RE1704:D)"
EC2102,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC1101E:D, EC1301:D, BSP1005:D, BSP1005A:D, BSP1005B:D, BSP1005X:D, BSP1703:D, BSP1703X:D, RE1704:D)"
EC2205,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES (1) EC1101E:D, EC1301:D, RE1704:D"
EC2374,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (1) EC1301:D , EC1101E:D , BSP1005:D , BSP1703:D , BSP1703X:D , RE1704:D )"
EC2383,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) EC1301:D,EC1101E:D,BSP1703:D,BSP1703X:D,BSP1005:D,RE1704:D
)"
EC3101,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC2101:D AND COURSES (1) EC2104:D, MA11%:D, MA15%:D, MA2%:D, MA3%:D, MA4%:D)"
EC3102,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC2101:D AND COURSES (1) EC2102:D, BSP2001:D, BSE3701:D) AND (COURSES (1) EC2104:D, BSP2001:D, BSE3701:D, MA11%:D, MA15%:D, MA2%:D, MA3%:D, MA4%:D)"
EC3303,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC1101E:D, EC1301:D, BSP1005:D, BSP1703:D, BSP1703X:D, RE1704:D) AND (COURSES (1) EC2303:D, DSC1007:D, DSC1007X:D, BT1101:D, SA%:D, ST%:D, MA2216:D)"
EC3304,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC3303:D, ST3131:D) AND (COURSES (1) EC2104:D, MA11%:D, MA15%:D, MA2%:D, MA3%:D, MA4%:D)"
EC3305,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) EC2303:D,DSC1007:D,DSC1007X:D,SA%:D,ST%:D,MA2216:D,BT1101:D
)"
EC3305R,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES (1) EC2303:D, DSC1007:D, DSC1007X:D, BT1101:D, MA2216:D, SA%:D, ST%:D"
EC3312,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC2101:D AND COURSES (1) EC2104:D, MA11%:D, MA15%:D, MA2%:D, MA3%:D, MA4%:D)"
EC3314,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC2104:D, MA1101R:D, MA1102R:D, MA1505:D, MA1506:D, MA1507:D, MA1508:D) AND (COURSES EC2101:D) AND (COURSES (1) EC2102:D, BSP2001:D, BSE3701:D)"
EC3332,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC2102:D, BSP2001:D, BSE3701:D AND COURSES (1) EC2104:D, MA11%:D, MA15%:D, MA2%:D, MA3%:D, MA4%:D)"
EC3333,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC2101:D AND COURSES (1) EC2102:D, BSP2001:D, BSE3701:D AND COURSES (1) EC2104:D, MA11%:D, MA15%:D, MA2%:D, MA3%:D, MA4%:D)"
EC3342,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC2101:D AND COURSES (1) EC2102:D, BSP2001:D, BSE3701:D)"
EC3343,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC2101:D AND COURSES (1) EC2102:D, BSP2001:D, BSE3701:D)"
EC3351,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC2101:D AND COURSES (1) EC2104:D, MA11%:D, MA15%:D, MA2%:D, MA3%:D, MA4%:D)"
EC3361,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (2) EC2101:D, EC3303:D, ST3131:D AND COURSES (1) EC2104:D, MA11%:D, MA15%:D, MA2%:D, MA3%:D, MA4%:D)"
