"University Town College Programme"
"Ridge View Residential College Programme"
"NUS College"
"Special Programme in Science"
"Minor in Anthropology"
"Minor in Chinese Language"
"Minor in Chinese Studies"
"Minor in Chinese Translation"
"Minor in Communications and New Media"
"Minor in Economics"
"Minor in English Language"
"Minor in English Literature"
"Minor in European Studies"
"Minor in History"
"Minor in Human Services"
"Minor in India Studies"
"Minor in Interpreting"
"Minor in Japanese Studies"
"Minor in Language Science"
"Minor in Malay Studies"
"Minor in Philosophy"
"Minor in Political Science"
"Minor in Psychology"
"Minor in Sociology"
"Minor in Southeast Asian Studies"
"Minor in Theatre Studies"
"Minor in Aquatic Ecology"
"Minor in Art History"
"Minor in Asian Studies"
"Minor in China Studies"
"Minor in Cultural Studies"
"Minor in English Studies"
"Minor in Film Studies"
"Minor in Gender Studies"
"Minor in Geographical Information Systems"
"Minor in Global Studies"
"Minor in Health and Social Sciences"
"Minor in Interactive Media Development"
"Minor in Language Studies"
"Minor in Religious Studies"
"Minor in Science, Technology and Society"
"Minor in Urban Studies"
"Minor in Management"
"Minor in Entrepreneurship"
"Minor in Technopreneurship"
"Minor in Real Estate"
"Minor in Management of Technology"
"Minor in Artificial Intelligence"
"Minor in Business Analytics"
"Minor in Computer Science"
"Minor in Information Security"
"Minor in Information Systems"
"Minor in Data Engineering"
"Minor in Architectural Studies"
"Minor in Biomedical Engineering"
"Minor in Landscape Architectural Studies"
"Minor in Project Management"
"Minor in Systems Engineering"
"Minor in Infrastructure Management and Finance"
"Minor in Innovation and Design"
"Minor in Biomedical Informatics"
"Minor in Integrative Health"
"Minor in Music and Society"
"Minor in Public Health"
"Minor in Analytical Chemistry"
"Minor in Astronomy"
"Minor in Bioinformatics"
"Minor in Biophysics"
"Minor in Botany"
"Minor in Chemistry"
"Minor in Data Analytics"
"Minor in Forensic Science"
"Minor in Geosciences"
"Minor in Life Sciences"
"Minor in Mathematics"
"Minor in Meteorology and Climate Science"
"Minor in Nanoscience"
"Minor in Nutrition"
"Minor in Pharmaceutical Science"
"Minor in Physics"
"Minor in Physics in Technology"
"Minor in Statistics"
"Minor in Quantitative Finance"
"Minor in Engineering Materials"
"Minor in Medical Physics"
"Minor in Community Development and Leadership"
